Site_Hannah,Ecoregion_Level_3,Site_master,Region
Agua Fria NM,Arizona/New Mexico Mountains,AguaFria,Colorado Plateau
Babbitt PJ,Arizona/New Mexico Mountains,BabbitPJ,Colorado Plateau
Babbitt PJ2020,Arizona/New Mexico Mountains,BabbitPJ,Colorado Plateau
Flying M Ranch,Arizona/New Mexico Mountains,FlyingM,Colorado Plateau
Flying M Ranch2020,Arizona/New Mexico Mountains,FlyingM,Colorado Plateau
Montezuma Well NM,Arizona/New Mexico Mountains,MOWE,Colorado Plateau
Montezuma Well NM2020,Arizona/New Mexico Mountains,MOWE,Colorado Plateau
BarTBar Ranch,Arizona/New Mexico Plateau,BarTBar,Colorado Plateau
BarTBar Ranch 2020,Arizona/New Mexico Plateau,BarTBar,Colorado Plateau
Petrified Forest NM,Arizona/New Mexico Plateau,PEFO,Colorado Plateau
Petrified Forest NM2020,Arizona/New Mexico Plateau,PEFO,Colorado Plateau
Spiderweb,Arizona/New Mexico Plateau,Spiderweb,Colorado Plateau
Spiderweb2020,Arizona/New Mexico Plateau,Spiderweb,Colorado Plateau
Tolani Lake Enterprises,Arizona/New Mexico Plateau,TLE,Colorado Plateau
Creosote (CDRRC),Chihuahuan Deserts,Creosote,Chihuahuan
Mesquite (CDRRC),Chihuahuan Deserts,Mesquite,Chihuahuan
Canyonlands Research Center,Colorado Plateaus,CRC,Utah
La Sal,Colorado Plateaus,UtahPJ (?),Utah
Salt Desert,Colorado Plateaus,Salt_Desert,Utah
Patagonia,Madrean Archipelago,Patagonia,Sonoran SE
Santa Rita Experimental Range,Madrean Archipelago,SRER,Sonoran SE
29 Palms,Mojave Basin and Range,29_Palms,Mojave
AVRCD/Antelope Valley,Mojave Basin and Range,AVRCD,Mojave
Lake Pleasant,Sonoran Basin and Range,Pleasant,Sonoran Central
McDowell-Sonoran Preserve,Sonoran Basin and Range,Preserve,Sonoran Central
Roosevelt Lake,Sonoran Basin and Range,Roosevelt,Sonoran Central
Scottsdale CC,Sonoran Basin and Range,SCC,Sonoran Central
