Code,n,Frequency,Plant,Plot,Type
LOAR12,166,0.1440972222222222,Native recruit,Total,"Native recruit, Total"
CHPO12,112,0.09722222222222222,Native recruit,Total,"Native recruit, Total"
LOHU2,112,0.09722222222222222,Native recruit,Total,"Native recruit, Total"
VUOC,110,0.0954861111111111,Native recruit,Total,"Native recruit, Total"
LOAR12,58,0.16111111111111112,Native recruit,Wetter,"Native recruit, Wetter"
CHPO12,36,0.1,Native recruit,Wetter,"Native recruit, Wetter"
VUOC,36,0.1,Native recruit,Wetter,"Native recruit, Wetter"
LOHU2,17,0.04722222222222222,Native recruit,Wetter,"Native recruit, Wetter"
LOAR12,108,0.13636363636363635,Native recruit,Drier,"Native recruit, Drier"
LOHU2,95,0.11994949494949494,Native recruit,Drier,"Native recruit, Drier"
CHPO12,76,0.09595959595959595,Native recruit,Drier,"Native recruit, Drier"
VUOC,74,0.09343434343434344,Native recruit,Drier,"Native recruit, Drier"
ERCI6,277,0.2404513888888889,Invasive,Total,"Invasive, Total"
SCBA,241,0.2092013888888889,Invasive,Total,"Invasive, Total"
BRRU2,145,0.12586805555555555,Invasive,Total,"Invasive, Total"
SCBA,76,0.2111111111111111,Invasive,Wetter,"Invasive, Wetter"
ERCI6,70,0.19444444444444445,Invasive,Wetter,"Invasive, Wetter"
BRRU2,46,0.12777777777777777,Invasive,Wetter,"Invasive, Wetter"
ERCI6,207,0.26136363636363635,Invasive,Drier,"Invasive, Drier"
SCBA,165,0.20833333333333334,Invasive,Drier,"Invasive, Drier"
BRRU2,99,0.125,Invasive,Drier,"Invasive, Drier"
SACO6,74,0.23125,Current mix,Total,"Current mix, Total"
LUSP2,66,0.20625,Current mix,Total,"Current mix, Total"
PLOV,61,0.190625,Projected mix,Total,"Projected mix, Total"
ARPU9,65,0.126953125,Projected mix,Total,"Projected mix, Total"
SECO10,38,0.07421875,Projected mix,Total,"Projected mix, Total"
PLOV,43,0.44791666666666674,Projected mix,Wetter,"Projected mix, Wetter"
LUSP2,40,0.41666666666666674,Current mix,Wetter,"Current mix, Wetter"
SACO6,40,0.41666666666666674,Current mix,Wetter,"Current mix, Wetter"
ARPU9,43,0.26875,Projected mix,Wetter,"Projected mix, Wetter"
SECO10,14,0.0875,Projected mix,Wetter,"Projected mix, Wetter"
SACO6,34,0.15178571428571427,Current mix,Drier,"Current mix, Drier"
LUSP2,26,0.11607142857142858,Current mix,Drier,"Current mix, Drier"
PLOV,18,0.08035714285714286,Projected mix,Drier,"Projected mix, Drier"
SECO10,24,0.06818181818181818,Projected mix,Drier,"Projected mix, Drier"
ARPU9,22,0.0625,Projected mix,Drier,"Projected mix, Drier"
Empty,238,0.2065972222222222,Empty,Total,"Empty, Total"
Empty,27,0.075,Empty,Wetter,"Empty, Wetter"
Empty,211,0.26641414141414144,Empty,Drier,"Empty, Drier"
